REGIMEN_LABORAL;CARGO;REMUNERACION MENSUAL;BENEFICIOS;female;male
1;3;2598;0;0;1
1;3;2598;0;0;1
1;3;2598;0;1;0
1;4;4253.33;0;0;1
1;3;2598;0;1;0
1;3;2598;0;1;0
1;3;2400;0;0;1
1;4;9500;0;1;0
1;4;3700;0;1;0
1;3;2598;0;0;1
1;3;2598;0;1;0
1;3;2598;0;1;0
1;3;2598;0;1;0
1;3;2400;0;1;0
1;3;2400;0;0;1
1;4;5300;0;0;1
1;4;4253.33;0;0;1
1;3;2165;0;0;1
1;4;6283.33;0;0;1
1;4;3700;0;1;0
1;3;3100;0;0;1
1;3;2400;0;0;1
1;4;5300;0;1;0
1;4;4400;0;0;1
1;4;6500;0;0;1
1;3;2240;0;1;0
1;4;4400;0;0;1
1;3;3000;0;1;0
1;3;606.2;0;1;0
1;3;2700;0;0;1
1;3;2598;0;0;1
1;3;2400;0;0;1
1;4;4400;0;0;1
1;4;3700;0;0;1
1;2;9183.33;0;0;1
1;4;3700;0;0;1
1;3;2320;0;1;0
1;3;1140;0;1;0
1;3;2320;0;1;0
1;3;1991.8;0;0;1
1;3;2598;0;1;0
1;3;2598;0;0;1
1;3;1991.8;0;1;0
1;3;2400;0;1;0
1;3;2598;0;0;1
1;4;2500;0;0;1
1;3;2598;0;1;0
1;3;2598;0;0;1
1;4;5300;0;0;1
1;4;4400;0;0;1
1;3;2598;0;1;0
1;3;2400;0;0;1
1;3;2320;0;0;1
1;3;2400;0;1;0
1;3;2251.6;0;0;1
1;3;2598;0;1;0
1;4;4400;0;0;1
1;4;6500;0;0;1
1;3;2598;0;1;0
1;3;2320;0;0;1
1;3;2598;0;0;1
1;3;2598;0;1;0
1;3;2400;0;1;0
1;4;4400;0;1;0
1;3;2165;0;1;0
1;3;2598;0;0;1
1;3;2338.2;0;0;1
1;3;2400;0;0;1
1;3;2251.6;0;1;0
1;4;5300;0;0;1
1;3;2400;0;1;0
1;3;2400;0;0;1
1;3;2598;0;1;0
1;4;5123.33;0;0;1
1;3;2700;0;1;0
1;3;2610;0;0;1
1;3;2400;0;0;1
1;4;5300;0;1;0
1;3;2400;0;1;0
1;3;2598;0;1;0
1;3;2320;0;1;0
1;4;4106.67;0;1;0
1;3;2598;0;0;1
1;3;2400;0;0;1
1;3;2400;0;0;1
1;3;2598;0;0;1
1;3;2598;0;0;1
1;3;2400;0;1;0
1;4;5300;0;0;1
1;3;2400;0;1;0
1;3;1760;0;1;0
1;4;7800;0;1;0
1;3;2598;0;0;1
1;3;2400;0;1;0
1;4;5123.33;0;1;0
1;3;2598;0;1;0
1;3;2598;0;1;0
1;3;2400;0;0;1
1;3;2598;0;0;1
1;3;2598;0;1;0
1;3;2400;0;1;0
1;4;5300;0;0;1
1;3;2598;0;0;1
1;3;2700;0;1;0
1;3;2598;0;0;1
1;3;2598;0;0;1
1;3;2598;0;1;0
1;3;3100;0;1;0
1;4;4253.33;0;1;0
1;4;5300;0;1;0
1;3;2598;0;0;1
1;3;2400;0;0;1
1;3;2598;0;0;1
1;3;2610;0;0;1
1;3;1472.2;0;1;0
1;3;3100;0;1;0
1;3;2400;0;1;0
1;3;2598;0;1;0
1;3;2598;0;1;0
1;3;2598;0;0;1
1;3;2598;0;1;0
1;3;1732;0;1;0
1;3;2598;0;1;0
1;3;2078.4;0;0;1
1;3;2400;0;0;1
1;3;2500;0;0;1
1;3;2400;0;1;0
2;3;1004.95;0;0;1
2;3;1028.36;0;0;1
2;3;981.54;0;0;1
2;4;1207.87;0;0;1
2;4;1137.63;0;0;1
2;4;1246.89;0;0;1
2;3;981.54;0;0;1
2;3;981.54;0;0;1
2;3;1028.36;0;0;1
2;3;1004.95;0;0;1
2;4;1137.63;0;0;1
2;2;1082.98;0;1;0
2;4;1082.98;0;0;1
2;4;1082.98;0;1;0
2;3;981.54;3;0;1
2;3;1004.95;0;0;1
2;5;1004.95;0;0;1
2;3;981.54;0;0;1
2;4;1477.94;0;1;0
2;4;1082.98;6;0;1
2;4;1246.89;0;0;1
2;4;1082.98;0;0;1
2;5;1285.86;0;0;1
2;4;1365.47;3;0;1
2;3;1004.95;0;1;0
2;4;1082.98;0;1;0
2;5;1028.36;0;0;1
2;3;981.54;0;0;1
2;3;1004.95;0;0;1
2;5;1028.36;0;1;0
3;5;1299;0;0;1
3;4;3669;0;1;0
3;4;5297;0;0;1
3;4;4046.57;0;1;0
3;4;7789;0;0;1
3;3;1299;0;1;0
3;2;9499;0;1;0
3;3;1299;93;0;1
3;3;1299;0;0;1
3;1;7789;0;0;1
3;3;2598;93;0;1
3;5;2598;93;0;1
3;4;2648.5;0;0;1
3;5;4390;0;1;0
3;4;2648.5;93;0;1
3;3;2598;0;0;1
3;4;2648.5;0;0;1
3;1;7789;0;0;1
3;5;1169.1;0;1;0
3;1;7789;0;0;1
3;2;14237;0;1;0
3;1;7789;0;1;0
3;4;6409;93;1;0
3;1;9499;0;0;1
3;1;9499;93;0;1
3;5;2598;0;1;0
3;4;5297;93;0;1
3;4;3082;93;0;1
3;1;9499;93;0;1
3;4;5297;0;1;0
3;4;5297;0;1;0
3;1;7789;0;0;1
3;2;9499;93;0;1
3;4;5297;0;1;0
3;4;2648.5;0;0;1
3;1;9499;0;0;1
3;1;7789;0;0;1
3;3;2598;0;0;1
3;1;7789;93;0;1
3;4;3669;0;0;1
3;4;2648.5;0;1;0
3;4;7789;0;0;1
3;1;9499;0;1;0
3;3;1039.2;0;1;0
3;4;14237;93;0;1
3;3;2598;0;1;0
3;4;2648.5;93;1;0
3;5;2598;0;0;1
3;1;7789;93;0;1
